topic,title,url,type
SDLC,SDLC Tutorial,https://www.geeksforgeeks.org/software-development-life-cycle/,article
Agile Model,Agile Explained,https://www.youtube.com/watch?v=Z9QbYZh1YXY,video
Scrum,Scrum Tutorial,https://www.geeksforgeeks.org/scrum-framework/,article
UML,UML Tutorial,https://www.geeksforgeeks.org/unified-modeling-language-uml/,article
Software Testing,Testing Tutorial,https://www.geeksforgeeks.org/software-testing-basics/,article
Version Control,Git Tutorial,https://www.geeksforgeeks.org/git-tutorial/,article
Software Maintenance,Maintenance Tutorial,https://www.tutorialspoint.com/software_engineering/software_maintenance.htm,article
